site,acan_speculum,acan_trilobatum ,ani_allopterum,arg_anceps,arg_ellongata,arg_pulla,arg_translata,bra_furcata,can_vibex,dyt_nigra,dyt_sterilis,ena_civile,ena_novaehispaniae,erythe_attala,erythe_peruviana,erythe_plebeja,erythe_vesiculosa,erythr_fervida,erythr_funerea,erythr_fusca,erythr_umbrata,het_cruentata,isc_capreola,isc_ramburii,les_tenuatus,lib_herculea,mac_pseudimitans,mia_marcella,mic_aequalis,mic_atra,mic_mengeri,mic_ocellata,mic_schumanni,neo_cultellatum,oli_umbricola,ort_discolor,ort_ferruginea,pal_lineatipes,pan_flavecens,pan_hymenaea,per_mooma,rem_luteipennis,rhi_jalapensis,tau_argo,tau_australis,tel_digiticolis,tel_filiola,tel_salva,Gomphidae
Lankester,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Catie,16,0,0,0,0,0,0,1,0,0,2,0,0,9,2,0,0,7,0,12,0,0,10,9,0,0,0,6,4,0,0,8,0,10,0,2,0,0,0,0,89,0,0,0,0,1,6,0,0
Dona_Ana,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Rodeo,0,7,0,0,4,4,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,1
La_PazA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sabana,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,23,46,0,0,0,13,0,0,0,0,0,16,0,0,20,0,21,1,54,0,0,0,0,0,0,0,0
Lankester,0,0,3,2,2,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catie,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,3,1,0,0,0,0,5,0,1,0,0,0,0,28,0,0,0,0,4,8,0,0
Dona_Ana,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Rodeo,0,26,0,2,7,1,1,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,0,0,3
La_PazA,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0
Sabana,0,0,0,10,0,0,0,1,0,0,0,12,0,0,0,0,0,5,1,0,0,0,12,18,0,0,0,6,0,0,0,0,0,5,0,0,11,0,5,1,1,0,0,0,0,0,0,0,0
Lankester,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Catie,23,0,0,1,0,0,0,1,0,0,4,0,0,19,4,0,0,9,0,8,0,0,8,5,0,0,0,1,6,0,0,16,0,13,0,3,0,0,0,0,37,0,0,0,0,6,7,1,0
Dona_Ana,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,61,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
La_PazA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sabana,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,2,0,0,10,16,0,0,0,8,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lankester,0,0,7,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
