,month,Baetid,America,Calliba,Guajir,Caenis,Ulmerit,Farrode,Tricory,Leptohy,Anacro,Hetaeri,Heterag,Libellu,Elga,Perithe,Macrothe,Pseudol,Neocord,Coenag,Nehalen,Argia,Lestida,Perisso,Epigomp,Desmogo,Phyllog,Agriogo,Palaemn,Ambrysu,Rhagove,Hexacyl,Neoelmi,Macrelm,Heterel,Xenelmi,Paracym,Gyrete,Ptiloda,Scirtid,Lutroch,Pelonom,Coleopt,Sialis,Neargyr,Phylloi,Banyall,Marilia,Leptne,Macrone,Smicrid,Macroste,Hydropt,Neotric,Nectops,Oecetis,Triplec,Chimarr,Autroti,Polycen,Cyrnell,Protopti,Anophel,Tipulid,Limonia,Hexatom,Simuli,Ceratop,Forcipo,Xestoch,Tanytar,Chirono,Ortochl,Tanypod,Neoplas,Hemerodr,Chrisop,Clognia,Dixella,Ephyd2,Dolichop,Acari,Platyhe,Sphaeri,Oligoch,Hyrudi,Polycha,Nematom,Copepod,Collemb
May00,two,0,52.4,262,0,262,0,262,0,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,157.2,52.4,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,0,419.2,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,157.2,0,52.4,0,1048,0,157.2,2043.6,943.2,104.8,7493.2,0,0,52.4,0,104.8,0,0,209.6,0,0,157.2,0,52.4,0,0,52.4
Jan01,two,0,0,0,0,104.8,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,1310,0,157.2,5135.2,5240,52.4,6392.8,0,0,0,0,0,0,0,52.4,0,0,104.8,0,104.8,0,0,52.4
Mar01,two,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,157.2,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,1257.6,0,0,5240,6812,52.4,5187.6,0,0,0,0,0,0,0,104.8,0,0,104.8,0,681.2,0,0,52.4
May01,two,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,52.4,0,0,0,52.4,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200.8,0,0,7860,5082.8,52.4,3039.2,0,0,0,0,0,0,0,157.2,0,0,262,0,262,104.8,0,0
Jun01,two,0,0,0,0,104.8,0,157.2,0,0,0,0,262,0,0,0,0,0,0,0,0,104.8,0,157.2,157.2,0,0,0,52.4,52.4,0,0,52.4,52.4,0,0,0,0,52.4,0,0,0,52.4,0,0,52.4,0,0,0,104.8,0,0,0,0,209.6,0,0,0,52.4,0,0,0,0,0,104.8,104.8,0,2200.8,0,104.8,2829.6,2200.8,471.6,9274.8,0,0,0,0,0,0,0,52.4,0,0,471.6,0,1205.2,1205.2,0,52.4
Aug01,two,0,0,0,0,104.8,0,104.8,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,157.2,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,52.4,0,0,0,0,0,0,0,1048,0,0,3930,5030.4,366.8,4558.8,0,0,0,0,0,0,0,0,0,0,786,0,1100.4,157.2,52.4,0
Oct01,two,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,628.8,0,52.4,5449.6,4244.4,104.8,4454,0,0,0,0,0,0,0,0,0,0,314.4,0,1048,104.8,0,0
Feb02,two,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628.8,262,0,4768.4,6026,0,4716,0,0,0,0,0,0,0,0,0,0,419.2,0,104.8,0,104.8,104.8
Mar02,two,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,104.8,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,52.4,0,524,0,0,0,0,0,0,0,0,0,0,1729.2,0,0,9956,5030.4,104.8,5344.8,0,0,0,0,0,0,0,0,0,0,262,0,52.4,0,0,0
Jun03,two,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,104.8,0,0,0,0,0,0,0,52.4,0,0,0,1100.4,0,104.8,3930,5606.8,0,3510.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0
Dec03,two,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,1205.2,0,104.8,7598,3144,52.4,3825.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0
Feb04,two,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,52.4,681.2,0,0,9694,10532.4,157.2,2829.6,0,0,0,0,0,0,0,104.8,0,0,52.4,0,0,0,0,0
Feb05,two,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,314.4,0,157.2,3720.4,4768.4,0,3144,0,0,0,0,0,0,0,0,0,52.4,52.4,0,52.4,0,0,0
Feb07,two,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,628.8,0,0,6235.6,3982.4,0,4139.6,0,0,209.6,0,0,0,0,0,0,0,628.8,0,104.8,0,0,0
May07,two,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,0,52.4,5816.4,6183.2,0,3248.8,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0
May08,two,52.4,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,104.8,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,1152.8,0,0,10689.6,7231.2,52.4,7755.2,0,0,0,0,0,0,0,0,0,0,104.8,0,52.4,0,0,0
Feb09,two,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,995.6,0,52.4,7702.8,1834,0,2253.2,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0
Jan97,three,157.2,0,0,0,52.4,0,1414.8,0,0,209.6,0,366.8,0,0,0,0,0,0,0,0,0,0,52.4,209.6,0,0,0,0,52.4,0,52.4,104.8,0,0,52.4,0,0,52.4,0,104.8,0,0,0,0,0,157.2,0,0,7283.6,0,0,0,0,0,0,157.2,1205.2,0,0,0,0,0,0,0,157.2,52.4,471.6,0,104.8,2358,1310,157.2,3091.6,0,157.2,0,0,0,0,104.8,52.4,0,0,366.8,0,0,104.8,0,157.2
Feb97,three,0,0,0,0,52.4,0,262,0,0,0,0,0,0,0,0,104.8,0,0,0,0,52.4,0,52.4,262,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,314.4,0,0,733.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838.4,0,1781.6,0,104.8,6288,3039.2,52.4,1729.2,0,52.4,0,0,0,0,0,0,0,0,524,0,52.4,0,0,0
Mar97,three,0,0,0,0,0,0,52.4,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,314.4,0,0,0,0,0,157.2,0,157.2,0,0,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,157.2,52.4,0,0,0,0,0,0,1467.2,0,1624.4,0,471.6,2986.8,2934.4,0,1572,0,0,0,0,0,0,0,52.4,52.4,0,733.6,0,0,0,0,0
May97,three,0,0,0,0,262,0,157.2,0,0,52.4,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,0,0,104.8,52.4,0,0,52.4,0,0,0,0,0,0,0,0,0,0,209.6,0,0,52.4,0,0,0,0,0,0,0,104.8,52.4,0,0,0,0,0,0,1676.8,0,1834,0,0,2777.2,1205.2,209.6,2462.8,0,0,0,0,0,0,0,157.2,0,0,52.4,0,0,0,52.4,0
Oct97,three,0,0,0,0,0,0,366.8,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,209.6,0,52.4,0,0,104.8,104.8,0,0,0,0,52.4,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,786,0,2148.4,0,209.6,1624.4,2724.8,52.4,2462.8,52.4,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0
Nov97,three,0,0,0,0,0,0,52.4,0,0,0,0,52.4,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,52.4,0,0,0,0,0,0,157.2,0,0,0,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.2,733.6,1991.2,0,104.8,2096,3772.8,419.2,1519.6,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Dec97,three,0,0,0,0,0,0,576.4,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,52.4,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,52.4,0,157.2,0,0,52.4,0,0,0,0,0,262,0,2148.4,0,52.4,1414.8,1991.2,524,3144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jun98,three,0,0,0,0,104.8,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,0,0,0,0,52.4,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,733.6,52.4,0,2829.6,1362.4,52.4,3982.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Oct98,three,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,419.2,0,0,3039.2,838.4,104.8,3091.6,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
Feb99,three,0,52.4,0,0,0,0,1048,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.6,104.8,0,0,838.4,104.8,0,0,0,0,0,52.4,0,0,0,0,0,0,52.4,0,0,524,157.2,0,52.4,1257.6,2253.2,0,2305.6,0,0,0,0,0,0,0,0,104.8,0,0,0,52.4,52.4,52.4,0
Jul99,three,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,0,0,0,0,0,0,419.2,0,0,995.6,733.6,0,3196.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aug99,three,0,314.4,0,0,104.8,0,681.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,52.4,0,314.4,0,943.2,52.4,104.8,1781.6,2672.4,681.2,3353.6,0,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,52.4,0
Oct99,three,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.2,0,0,2253.2,1152.8,0,1781.6,0,0,0,0,0,0,0,0,0,52.4,104.8,0,0,0,0,0
Nov99,three,0,471.6,0,0,0,0,1100.4,0,0,157.2,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,0,0,0,0,0,104.8,419.2,0,0,0,0,52.4,0,0,0,0,52.4,0,0,366.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,52.4,0,1152.8,0,52.4,1886.4,2148.4,1362.4,4925.6,0,52.4,52.4,0,0,0,0,0,157.2,0,0,0,0,0,0,0
Feb00,three,0,52.4,0,0,0,0,628.8,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,157.2,0,0,0,0,0,0,0,52.4,52.4,0,0,0,52.4,0,0,0,0,0,0,0,209.6,52.4,0,0,1152.8,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,1257.6,0,314.4,4978,1310,104.8,3510.8,0,0,104.8,0,0,0,0,104.8,104.8,0,0,0,0,104.8,0,0
Apr00,three,0,157.2,52.4,0,52.4,0,471.6,0,0,0,0,0,52.4,0,0,0,0,0,0,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,838.4,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,524,0,0,0,314.4,0,262,733.6,4139.6,52.4,2986.8,0,0,0,0,52.4,0,0,0,52.4,0,52.4,0,0,0,0,0
Jun00,three,0,0,104.8,0,52.4,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.8,52.4,0,0,0,0,0,0,0,52.4,0,0,0,786,0,0,1572,0,52.4,2096,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0
Sep00,three,0,104.8,0,0,0,0,314.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,104.8,0,0,0,0,157.2,0,0,0,209.6,0,52.4,890.8,733.6,0,2462.8,0,0,0,0,0,0,0,262,0,0,52.4,0,262,0,0,0
Oct00,three,0,0,0,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,52.4,209.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.2,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,314.4,0,52.4,0,314.4,0,52.4,1467.2,681.2,0,3091.6,104.8,0,0,0,0,0,0,0,0,0,52.4,0,0,0,0,0
